city,type,bedrooms,bathrooms,area,price
Kurunegala,land,0,0,6063,50400000.0
Kandy,apartment,2,2,4469,89500000.0
Rajagiriya,house,5,1,4525,134600000.0
Colombo,house,5,4,3258,127800000.0
Dehiwala,apartment,2,3,1005,36400000.0
Galle,house,2,3,1765,35600000.0
Colombo,house,1,1,4908,172400000.0
Colombo,apartment,2,1,1260,55600000.0
Gampaha,apartment,1,1,2418,48300000.0
Nugegoda,house,5,5,4928,122700000.0
Galle,house,3,1,1466,29500000.0
Colombo,apartment,2,3,2324,105400000.0
Rajagiriya,house,3,3,2734,84500000.0
Nugegoda,house,3,1,3564,83400000.0
Nugegoda,apartment,2,3,2900,82900000.0
Rajagiriya,house,2,2,2108,63600000.0
Rajagiriya,house,1,2,2108,61900000.0
Gampaha,house,1,1,887,16500000.0
Kurunegala,apartment,4,5,3343,59900000.0
Rajagiriya,house,3,3,4573,133400000.0
Galle,house,3,2,1649,33400000.0
Kandy,house,3,3,4938,90600000.0
Kurunegala,house,5,5,4650,65100000.0
Negombo,house,1,2,3143,62400000.0
Colombo,house,5,3,3046,116900000.0
Negombo,house,3,3,4893,91400000.0
Kurunegala,apartment,1,1,2026,33200000.0
Kandy,house,2,3,2875,51800000.0
Kurunegala,house,3,3,2396,37500000.0
Rajagiriya,house,3,3,3836,110400000.0
Gampaha,house,2,3,2726,48500000.0
Negombo,house,4,1,4346,86000000.0
Battaramulla,house,1,1,1919,46600000.0
Negombo,house,1,2,3222,60500000.0
Battaramulla,apartment,2,3,2725,84500000.0
Negombo,apartment,1,1,3459,75100000.0
Negombo,house,4,3,4267,84000000.0
Kandy,apartment,3,3,3340,71000000.0
Battaramulla,land,0,0,1005,16700000.0
Battaramulla,house,1,2,3301,84600000.0
Galle,apartment,3,4,1891,48100000.0
Battaramulla,house,1,2,2798,71400000.0
Negombo,house,3,3,2776,58000000.0
Negombo,house,2,1,2423,49900000.0
Kandy,apartment,1,1,3126,64100000.0
Kandy,apartment,3,2,1868,44200000.0
Rajagiriya,house,3,1,3385,99100000.0
Colombo,apartment,4,5,4600,210200000.0
Dehiwala,house,5,3,827,31200000.0
Battaramulla,house,2,1,3199,83300000.0
Gampaha,apartment,3,1,2940,58900000.0
Colombo,apartment,2,2,4437,186200000.0
Gampaha,house,3,3,1952,36200000.0
Battaramulla,apartment,5,1,2785,90800000.0
Battaramulla,land,0,0,2120,36400000.0
Gampaha,house,4,2,2615,46500000.0
Negombo,house,4,5,3978,82900000.0
Battaramulla,apartment,2,3,844,30600000.0
Battaramulla,house,3,3,2866,78800000.0
Kurunegala,house,2,2,1112,17700000.0
Kandy,house,1,1,2389,42200000.0
Battaramulla,land,0,0,4876,83600000.0
Kurunegala,apartment,2,1,4896,76300000.0
Kandy,apartment,3,3,2542,54100000.0
Nugegoda,house,4,1,3822,98400000.0
Gampaha,house,5,1,2082,39100000.0
Battaramulla,apartment,2,1,1324,41800000.0
Kurunegala,land,0,0,9577,80200000.0
Rajagiriya,land,0,0,7783,148300000.0
Dehiwala,house,1,1,4322,115100000.0
Colombo,apartment,3,2,3463,144500000.0
Nugegoda,house,1,2,4182,96200000.0
Negombo,apartment,5,1,2542,62200000.0
Gampaha,house,3,2,2829,48800000.0
Colombo,house,3,2,1518,61300000.0
Rajagiriya,house,4,1,2911,88500000.0
Dehiwala,house,1,2,4900,131600000.0
Kurunegala,house,2,1,804,13200000.0
Rajagiriya,apartment,1,1,3556,119000000.0
Gampaha,apartment,5,6,4060,87200000.0
Dehiwala,apartment,2,3,2893,97300000.0
Kandy,apartment,4,4,914,26600000.0
Gampaha,apartment,2,3,2948,61100000.0
Dehiwala,house,4,2,1263,41200000.0
Nugegoda,house,2,3,2159,54900000.0
Gampaha,house,5,5,2029,43200000.0
Rajagiriya,apartment,3,4,4327,157900000.0
Kandy,house,3,2,4973,83300000.0
Rajagiriya,house,1,2,4783,139300000.0
Gampaha,house,3,2,2801,46700000.0
Rajagiriya,house,3,2,2925,85000000.0
Battaramulla,house,2,1,2372,58500000.0
Negombo,house,1,1,1395,28300000.0
Rajagiriya,apartment,1,1,1204,43300000.0
Colombo,house,4,2,4379,154000000.0
Negombo,apartment,3,1,4113,96900000.0
Nugegoda,apartment,3,4,1886,61900000.0
Kandy,house,2,3,3461,64100000.0
Nugegoda,house,2,3,2512,66000000.0
Colombo,house,5,3,1231,54200000.0
Rajagiriya,house,1,2,1990,60400000.0
Kandy,house,3,3,4319,78900000.0
Dehiwala,house,2,3,2386,63000000.0
Colombo,house,2,1,4644,166900000.0
Kandy,apartment,5,1,2500,57800000.0
Negombo,land,0,0,7609,95800000.0
Kurunegala,house,2,3,4109,56400000.0
Gampaha,land,0,0,6913,73100000.0
Kurunegala,house,5,1,3680,54900000.0
Rajagiriya,house,5,2,4044,127200000.0
Gampaha,house,3,2,1364,25700000.0
Kandy,house,4,5,880,25600000.0
Kandy,house,4,1,4337,78600000.0
Galle,apartment,1,2,1242,29200000.0
Rajagiriya,house,2,2,3211,90200000.0
Rajagiriya,land,0,0,4810,90200000.0
Battaramulla,house,1,1,994,26300000.0
Kandy,house,1,2,1670,29700000.0
Battaramulla,apartment,1,1,4250,123100000.0
Rajagiriya,house,5,1,1181,39600000.0
Galle,house,1,2,1713,31700000.0
Kurunegala,apartment,5,3,1556,34200000.0
Kandy,house,5,2,1634,36800000.0
Kurunegala,house,1,2,1686,23000000.0
Dehiwala,apartment,5,5,803,38300000.0
Colombo,house,4,2,2346,87900000.0
Dehiwala,apartment,1,2,752,26900000.0
Negombo,apartment,5,1,3126,79000000.0
Nugegoda,house,1,2,3432,79400000.0
Galle,house,2,2,4885,91800000.0
Rajagiriya,house,3,1,1663,49900000.0
Nugegoda,land,0,0,6233,100300000.0
Dehiwala,apartment,2,3,2746,86300000.0
Negombo,house,4,1,2454,50300000.0
Galle,land,0,0,5286,64200000.0
Gampaha,apartment,5,2,3558,70100000.0
Gampaha,house,3,1,4491,75800000.0
Rajagiriya,apartment,5,5,2297,85300000.0
Colombo,house,2,1,1757,62900000.0
Gampaha,house,2,3,2185,39300000.0
Nugegoda,house,4,4,2637,72600000.0
Battaramulla,house,1,2,1667,44400000.0
Negombo,house,2,3,3103,64900000.0
Battaramulla,apartment,4,5,3257,99800000.0
Colombo,house,3,3,4359,154600000.0
Rajagiriya,land,0,0,8266,161200000.0
Gampaha,house,5,5,1848,39100000.0
Rajagiriya,apartment,4,3,4528,168400000.0
Kandy,house,5,5,4776,93000000.0
Dehiwala,house,3,3,4713,128100000.0
Rajagiriya,house,1,1,1541,45000000.0
Kandy,house,1,1,4426,75300000.0
Rajagiriya,apartment,3,1,1709,61600000.0
Kandy,land,0,0,3946,42800000.0
Galle,house,1,2,2625,47800000.0
Negombo,house,4,5,866,26800000.0
Kandy,house,5,1,4917,86900000.0
Rajagiriya,house,3,1,1478,48600000.0
Negombo,land,0,0,1778,22400000.0
Kandy,house,4,1,3867,66400000.0
Negombo,apartment,4,1,1463,39700000.0
Rajagiriya,house,2,1,3598,108800000.0
Colombo,apartment,2,2,3924,163600000.0
Gampaha,house,2,2,4988,77400000.0
Gampaha,apartment,3,1,1384,29000000.0
Negombo,apartment,1,2,1465,36400000.0
Rajagiriya,apartment,4,3,3180,111000000.0
Battaramulla,house,2,2,1159,32800000.0
Galle,house,3,2,2884,56400000.0
Galle,apartment,2,3,4388,95200000.0
Kandy,apartment,5,3,4415,90700000.0
Dehiwala,house,1,1,3721,92700000.0
Dehiwala,house,1,1,4638,122800000.0
Kurunegala,apartment,4,5,3529,61000000.0
Battaramulla,house,2,1,2023,53700000.0
Battaramulla,apartment,2,2,4759,149100000.0
Kurunegala,land,0,0,4714,40100000.0
Kandy,apartment,1,1,4341,85000000.0
Gampaha,apartment,2,3,3090,63800000.0
Galle,house,4,5,2396,52200000.0
Gampaha,house,2,3,3966,64800000.0
Galle,house,3,1,2796,53500000.0
Kandy,house,3,2,4528,78500000.0
Kurunegala,house,4,1,2030,31200000.0
Kandy,apartment,1,1,1325,27500000.0
Galle,apartment,5,4,2962,74000000.0
Kandy,apartment,4,4,2024,47000000.0
Rajagiriya,land,0,0,1968,38700000.0
Battaramulla,house,1,1,1808,45700000.0
Nugegoda,house,1,1,1979,48900000.0
Battaramulla,land,0,0,2239,38300000.0
Rajagiriya,house,5,1,3999,118600000.0
Negombo,house,5,4,2719,58600000.0
Gampaha,house,5,1,1764,35600000.0
Negombo,apartment,2,1,3224,75000000.0
Rajagiriya,house,2,3,4702,131200000.0
Kandy,apartment,4,1,3822,78100000.0
Nugegoda,apartment,1,2,4041,111100000.0
Negombo,house,1,1,3382,60800000.0
Galle,house,2,1,3923,69500000.0
Negombo,house,2,2,1750,35800000.0
Colombo,house,1,1,4476,161200000.0
Kurunegala,house,5,3,3625,54300000.0
Colombo,house,1,1,4088,147100000.0
Kurunegala,apartment,1,1,4615,72100000.0
Rajagiriya,house,5,5,1927,63900000.0
Nugegoda,house,5,4,3580,92800000.0
Gampaha,apartment,2,3,1754,38800000.0
Gampaha,apartment,5,4,1464,37400000.0
Battaramulla,land,0,0,5882,94900000.0
Battaramulla,house,4,3,2442,69700000.0
Dehiwala,house,2,2,2431,65100000.0
Battaramulla,apartment,3,3,3929,116800000.0
Gampaha,house,1,2,1194,20900000.0
Battaramulla,house,1,2,2458,63300000.0
Gampaha,apartment,5,6,1993,48000000.0
Galle,apartment,2,1,2410,55300000.0
Kandy,house,2,3,2066,38300000.0
Kandy,apartment,4,2,895,25900000.0
Kurunegala,house,2,1,2334,32800000.0
Rajagiriya,house,5,1,1411,45700000.0
Dehiwala,apartment,3,2,1718,57400000.0
Galle,house,2,3,4479,81400000.0
Negombo,house,1,1,4101,73500000.0
Dehiwala,apartment,2,3,4881,146100000.0
Colombo,house,1,2,2664,95200000.0
Gampaha,house,1,2,4463,71600000.0
Nugegoda,house,2,3,3811,91100000.0
Kurunegala,house,2,3,3567,48100000.0
Dehiwala,apartment,4,4,4369,147600000.0
Galle,house,2,2,1382,29400000.0
Colombo,house,4,3,2429,92900000.0
Gampaha,house,5,4,4693,84100000.0
Colombo,apartment,5,4,4787,207400000.0
Kandy,apartment,1,1,3581,71300000.0
Battaramulla,apartment,4,1,2351,73800000.0
Rajagiriya,land,0,0,3496,67200000.0
Battaramulla,house,2,2,1011,30500000.0
Negombo,house,4,2,4857,99500000.0
Kurunegala,house,5,3,3979,60400000.0
Negombo,house,4,1,4975,93900000.0
Battaramulla,house,2,1,2735,67100000.0
Negombo,house,1,2,987,20600000.0
Dehiwala,land,0,0,8045,135800000.0
Nugegoda,house,5,2,1713,47100000.0
Battaramulla,house,4,4,4474,122500000.0
Battaramulla,house,4,5,4888,129800000.0
Gampaha,house,3,1,2703,45900000.0
Rajagiriya,house,2,1,2700,81200000.0
Galle,house,1,1,4994,84100000.0
Dehiwala,house,4,1,2388,64900000.0
Nugegoda,apartment,4,5,1569,55200000.0
Negombo,house,5,4,1517,37600000.0
Gampaha,house,5,5,3395,66400000.0
Gampaha,house,3,1,3043,52600000.0
Nugegoda,apartment,2,3,1650,50100000.0
Nugegoda,apartment,5,5,3135,94700000.0
Battaramulla,house,1,2,3192,79700000.0
Battaramulla,house,5,2,3307,85800000.0
Battaramulla,house,2,3,4554,114100000.0
Negombo,house,2,1,3422,68600000.0
Colombo,apartment,1,1,1321,55500000.0
Colombo,apartment,2,1,1464,65500000.0
Kandy,apartment,1,1,4676,92400000.0
Dehiwala,house,4,1,2898,75900000.0
Kandy,house,3,1,4256,70400000.0
Kandy,house,4,5,4647,85000000.0
Battaramulla,house,3,3,3296,83900000.0
Kurunegala,house,2,2,4444,55900000.0
Colombo,house,1,1,3759,136300000.0
Dehiwala,house,4,1,2966,84900000.0
Gampaha,house,2,2,2946,47300000.0
Kandy,house,5,5,4733,91000000.0
Rajagiriya,house,1,2,2980,83400000.0
Kandy,house,4,2,4447,82700000.0
Battaramulla,house,3,2,2910,77500000.0
Dehiwala,apartment,1,2,2006,64000000.0
Nugegoda,apartment,5,6,1051,43500000.0
Gampaha,house,3,4,1347,29400000.0
Galle,land,0,0,4537,51900000.0
Nugegoda,apartment,3,2,4428,128600000.0
Gampaha,apartment,5,6,4504,97000000.0
Colombo,house,3,3,3210,115000000.0
Galle,apartment,2,2,4477,99300000.0
Nugegoda,apartment,4,3,2605,83300000.0
Galle,house,3,3,3887,72500000.0
Galle,house,2,2,1063,22000000.0
Colombo,house,1,2,3384,125100000.0
Gampaha,house,3,1,1447,26800000.0
Battaramulla,apartment,3,2,2578,82100000.0
Negombo,apartment,5,2,2835,68400000.0
Galle,house,1,1,3380,59800000.0
Dehiwala,house,2,3,3697,94000000.0
Kandy,apartment,2,3,4009,85700000.0
Colombo,apartment,3,2,1413,64800000.0
Kurunegala,apartment,4,3,1181,25700000.0
Gampaha,apartment,1,2,1580,31000000.0
Galle,land,0,0,2283,27200000.0
Negombo,land,0,0,3171,39500000.0
Galle,land,0,0,6624,79300000.0
Kurunegala,house,5,3,4446,64400000.0
Negombo,house,1,1,2650,51600000.0
Dehiwala,house,2,3,2753,77100000.0
Kurunegala,land,0,0,4331,34700000.0
Gampaha,house,1,2,4134,62300000.0
Galle,house,4,4,2369,51100000.0
Battaramulla,house,4,2,3211,81100000.0
Gampaha,house,4,2,4221,73200000.0
Kurunegala,apartment,4,1,2469,40600000.0
Rajagiriya,land,0,0,6560,126600000.0
Rajagiriya,house,2,3,1921,57600000.0
Gampaha,house,2,2,3111,54100000.0
Nugegoda,apartment,2,1,3102,89300000.0
Galle,land,0,0,7588,86800000.0
Rajagiriya,apartment,2,1,1347,49600000.0
Colombo,land,0,0,1572,39900000.0
Kurunegala,house,1,1,2383,29800000.0
Negombo,apartment,2,1,4338,102100000.0
Galle,apartment,2,3,4500,98200000.0
Kandy,apartment,4,3,1360,33500000.0
Colombo,house,5,4,1927,77600000.0
Battaramulla,house,5,6,3425,99200000.0
Galle,house,4,2,2863,54200000.0
Dehiwala,land,0,0,8264,143000000.0
Dehiwala,house,4,1,3176,85400000.0
Dehiwala,house,3,4,4407,113900000.0
Galle,house,5,1,3035,60300000.0
Kurunegala,house,4,2,3572,51400000.0
Dehiwala,apartment,3,4,3726,121500000.0
Gampaha,house,5,4,1437,31900000.0
Battaramulla,apartment,3,4,3446,111000000.0
Gampaha,land,0,0,9766,102400000.0
Nugegoda,apartment,5,2,2033,68900000.0
Kurunegala,house,3,1,2310,31900000.0
Battaramulla,apartment,2,2,3819,117600000.0
Galle,apartment,2,2,3740,82500000.0
Galle,house,2,2,1904,38800000.0
Kurunegala,house,4,2,939,19700000.0
Dehiwala,house,1,1,1848,49400000.0
Negombo,apartment,4,3,3659,92300000.0
Dehiwala,house,5,2,1839,54400000.0
Kandy,house,1,2,4969,87100000.0
Gampaha,house,3,4,1191,26400000.0
Negombo,house,5,3,2086,47100000.0
Battaramulla,land,0,0,1459,23900000.0
Galle,apartment,5,2,1888,50000000.0
Gampaha,house,2,2,3347,53700000.0
Nugegoda,house,3,3,4667,114600000.0
Colombo,house,2,2,2500,89100000.0
Galle,house,3,3,2199,45800000.0
Battaramulla,land,0,0,8230,139100000.0
Gampaha,house,3,3,1893,36600000.0
Battaramulla,house,1,2,4197,102000000.0
Nugegoda,house,3,2,3019,76700000.0
Battaramulla,apartment,2,1,4758,147900000.0
Gampaha,house,1,2,2443,39900000.0
Rajagiriya,house,5,5,2049,67900000.0
Colombo,apartment,1,1,1808,81000000.0
Kandy,land,0,0,8468,96700000.0
Kandy,house,4,1,2823,50400000.0
Negombo,apartment,3,2,4490,104900000.0
Gampaha,house,4,4,1328,30400000.0
Rajagiriya,house,3,3,2542,76900000.0
Negombo,house,1,2,2686,49500000.0
Negombo,house,3,4,2890,60400000.0
Dehiwala,house,3,4,2846,75700000.0
Kandy,house,4,1,1090,24300000.0
Kurunegala,house,1,1,1605,21800000.0
Gampaha,house,5,3,2267,46700000.0
Colombo,house,3,4,3754,142900000.0
Colombo,apartment,4,2,923,44700000.0
Gampaha,house,4,2,4783,81100000.0
Colombo,house,2,1,2524,91600000.0
Battaramulla,land,0,0,1331,21400000.0
Galle,land,0,0,6054,73100000.0
Kurunegala,house,3,1,1659,25800000.0
Negombo,house,4,3,3905,80400000.0
Nugegoda,land,0,0,1386,22400000.0
Kandy,apartment,1,2,3216,64900000.0
Gampaha,house,2,1,1986,34800000.0
Galle,apartment,1,2,2569,55300000.0
Rajagiriya,house,5,1,4770,147200000.0
Rajagiriya,house,3,4,3993,125300000.0
Gampaha,house,2,3,1891,35100000.0
Colombo,house,2,1,756,29400000.0
Kandy,apartment,4,3,4023,87500000.0
Dehiwala,house,3,2,3678,100200000.0
Nugegoda,house,4,4,1804,52500000.0
Rajagiriya,house,3,3,1928,59700000.0
Kurunegala,house,3,1,1660,25400000.0
Kurunegala,land,0,0,3172,26300000.0
Nugegoda,house,4,2,3166,77500000.0
Battaramulla,house,4,5,3986,106400000.0
Rajagiriya,house,5,3,3140,97800000.0
Kurunegala,apartment,5,3,1090,25800000.0
Nugegoda,land,0,0,1358,22000000.0
Colombo,house,5,3,1884,78900000.0
Battaramulla,house,1,1,4585,110300000.0
Negombo,house,2,3,1748,37100000.0
Nugegoda,house,4,3,2796,76700000.0
Nugegoda,house,5,4,3043,78500000.0
Gampaha,house,1,2,2710,45800000.0
Negombo,house,3,2,3417,67900000.0
Negombo,house,2,2,2360,46100000.0
Kandy,house,3,3,3558,63500000.0
Colombo,apartment,3,2,2720,122000000.0
Battaramulla,apartment,3,4,3308,99700000.0
Battaramulla,house,1,1,4685,112000000.0
Negombo,house,5,5,1692,43500000.0
Gampaha,house,5,6,4656,84900000.0
Kurunegala,apartment,5,4,4502,74600000.0
Kandy,house,3,3,3061,59300000.0
Kandy,house,3,1,4113,73700000.0
Colombo,house,5,5,2985,118800000.0
Colombo,apartment,2,3,3925,169100000.0
Rajagiriya,house,4,3,4176,126500000.0
Rajagiriya,house,3,3,1107,37700000.0
Kandy,house,2,2,2247,40600000.0
Rajagiriya,house,3,2,3530,106200000.0
Gampaha,house,1,2,1186,20300000.0
Dehiwala,house,1,1,3134,82600000.0
Kurunegala,house,4,4,909,21000000.0
Rajagiriya,apartment,4,5,3057,109700000.0
Gampaha,apartment,4,2,2014,44300000.0
Kurunegala,apartment,1,1,1567,25000000.0
Negombo,house,1,2,1417,27900000.0
Colombo,house,1,1,1568,57000000.0
Colombo,house,4,3,4242,151400000.0
Gampaha,house,1,2,2760,46400000.0
Gampaha,house,5,5,984,27700000.0
Colombo,house,3,1,4273,158200000.0
Galle,house,3,3,2066,40700000.0
Nugegoda,house,4,1,2128,55700000.0
Rajagiriya,apartment,3,4,1641,65900000.0
Rajagiriya,house,4,2,3987,119300000.0
Kandy,apartment,4,5,2628,62100000.0
Rajagiriya,house,4,2,1689,54700000.0
Kandy,house,1,2,4354,71600000.0
Dehiwala,apartment,1,2,2851,89200000.0
Nugegoda,apartment,5,5,3923,118800000.0
Negombo,apartment,2,3,1136,30200000.0
Colombo,land,0,0,5979,139300000.0
Galle,land,0,0,4259,50200000.0
Colombo,house,4,1,2901,104500000.0
Negombo,house,3,3,3542,68500000.0
Negombo,house,5,1,782,23100000.0
Gampaha,house,4,3,1722,36500000.0
Dehiwala,house,3,4,3780,105900000.0
Kandy,house,3,4,944,24100000.0
Rajagiriya,apartment,5,4,1991,79000000.0
Kandy,land,0,0,7683,88400000.0
Colombo,house,4,2,4262,159100000.0
Kurunegala,house,3,3,1210,22700000.0
Kandy,land,0,0,8006,91200000.0
Colombo,house,4,4,2342,95600000.0
Galle,apartment,2,1,2802,61100000.0
Galle,house,1,2,3219,58400000.0
Kurunegala,apartment,5,6,4395,79100000.0
Rajagiriya,house,5,6,1866,65600000.0
Colombo,house,3,1,2296,84900000.0
Negombo,house,4,3,2025,47700000.0
Kurunegala,house,4,3,1106,22100000.0
Dehiwala,house,2,2,2033,57700000.0
Rajagiriya,apartment,3,1,3645,134100000.0
Gampaha,house,2,2,4173,66300000.0
Colombo,house,1,1,4417,158100000.0
Negombo,apartment,4,1,3218,72800000.0
Nugegoda,house,4,2,4076,103100000.0
Kandy,apartment,2,3,3253,70600000.0
Negombo,house,1,1,4697,88500000.0
Kurunegala,land,0,0,8927,78700000.0
Rajagiriya,land,0,0,4743,93100000.0
Gampaha,house,4,4,1378,29200000.0
Dehiwala,land,0,0,4674,80000000.0
Colombo,apartment,4,5,2753,127600000.0
Rajagiriya,apartment,2,1,903,35800000.0
Battaramulla,house,3,3,1814,48700000.0
Kurunegala,land,0,0,2772,22600000.0
Battaramulla,house,3,4,1410,42400000.0
Kurunegala,apartment,5,4,2788,54000000.0
Kandy,house,4,2,833,21300000.0
Battaramulla,house,1,2,3968,99700000.0
Galle,house,2,3,4816,87900000.0
Dehiwala,house,3,4,4357,115700000.0
Battaramulla,house,1,1,4002,96400000.0
Gampaha,land,0,0,5958,60200000.0
Galle,house,1,2,2130,40600000.0
Kandy,house,5,5,1133,29100000.0
Battaramulla,land,0,0,4109,70600000.0
Battaramulla,apartment,5,5,4164,133900000.0
Nugegoda,apartment,3,3,955,32600000.0
Negombo,house,5,6,3458,73100000.0
Gampaha,house,2,3,1270,24500000.0
Kurunegala,house,1,2,902,13800000.0
Nugegoda,house,1,1,2502,58100000.0
Colombo,land,0,0,8361,208900000.0
Gampaha,house,1,1,1156,19100000.0
Galle,house,3,1,3274,59000000.0
Negombo,house,4,5,2288,50200000.0
Colombo,apartment,5,1,4670,202200000.0
Battaramulla,apartment,4,2,1118,38300000.0
Battaramulla,house,2,1,2043,54900000.0
Gampaha,house,3,1,4672,77100000.0
Colombo,land,0,0,3240,77900000.0
Negombo,house,3,3,3513,68800000.0
Kurunegala,apartment,4,4,3972,66000000.0
Negombo,apartment,5,6,1124,38000000.0
Gampaha,land,0,0,5595,59800000.0
Colombo,house,5,3,2674,102600000.0
Colombo,land,0,0,9708,243400000.0
Nugegoda,house,3,1,799,23700000.0
Dehiwala,apartment,3,2,4811,148900000.0
Battaramulla,land,0,0,4765,81900000.0
Gampaha,house,3,4,3511,63700000.0
Kandy,house,5,2,3119,62200000.0
Nugegoda,land,0,0,2988,46600000.0
Battaramulla,house,3,1,4025,97800000.0
Dehiwala,house,1,1,957,26800000.0
Kandy,apartment,2,3,4116,82200000.0
Negombo,house,1,2,2945,57100000.0
Battaramulla,house,2,2,3599,93200000.0
Negombo,house,2,1,4945,90700000.0
Rajagiriya,apartment,1,1,1927,66900000.0
Nugegoda,land,0,0,5757,96800000.0
Nugegoda,house,4,2,3211,83300000.0
Colombo,house,4,1,832,37800000.0
Battaramulla,apartment,2,2,925,32200000.0
Kurunegala,house,2,3,2529,37300000.0
Galle,house,4,5,3176,66400000.0
Kurunegala,land,0,0,1859,15800000.0
Galle,apartment,2,1,4501,97300000.0
Nugegoda,apartment,4,1,4914,136600000.0
Rajagiriya,house,5,2,3760,111500000.0
Colombo,apartment,2,2,2077,90700000.0
Rajagiriya,apartment,3,4,3116,113700000.0
Dehiwala,apartment,1,1,2661,86300000.0
Kandy,house,2,1,3306,57400000.0
Galle,house,4,4,3662,75100000.0
Galle,house,3,1,3567,67000000.0
Negombo,house,4,2,2108,43900000.0
Rajagiriya,house,3,2,884,29900000.0
Negombo,house,4,1,1572,36000000.0
Negombo,apartment,1,2,1674,38000000.0
Kurunegala,land,0,0,1241,10800000.0
Battaramulla,house,4,5,945,35100000.0
Kandy,house,1,1,810,15200000.0
Battaramulla,apartment,5,6,3341,113100000.0
